SK_ID_BUREAU,SK_ID_CURR,DAYS_CREDIT,AMT_CREDIT_SUM,CREDIT_SUM_LIMIT,CREDIT_TYPE
1,103136,-1120,8084.97,13073.88,Mortgage
2,104565,-3599,43107.35,7830.2,Mortgage
3,100637,-3718,43900.02,18185.87,Credit card
4,114396,-1464,16297.34,16554.75,Other
5,103870,-3926,24522.85,17453.31,Credit card
6,102990,-978,12307.72,11149.89,Other
7,107921,-770,19981.24,3687.67,Other
8,111212,-2548,12922.65,7395.0,Credit card
9,108298,-2717,38632.46,15745.31,Credit card
10,114250,-2287,35939.35,1630.01,Credit card
11,101820,-1720,31730.57,19238.83,Mortgage
12,106551,-3455,28486.13,13368.95,Consumer credit
13,113842,-1670,14940.21,18050.16,Car loan
14,106774,-1707,11073.06,12892.89,Other
15,110282,-1713,10802.72,16708.73,Mortgage
16,107593,-3228,46316.04,7193.23,Other
17,109717,-1180,40390.58,4214.3,Other
18,108360,-1524,45578.08,7153.36,Mortgage
19,109839,-1675,45731.81,9553.27,Credit card
20,110553,-1694,7614.79,14852.5,Consumer credit
21,101960,-207,34285.92,14673.79,Credit card
22,103504,-547,33400.41,8584.01,Mortgage
23,110964,-3506,48686.46,9104.54,Mortgage
24,107582,-3776,38800.79,19634.04,Consumer credit
25,106214,-2464,6978.84,9022.29,Car loan
26,104827,-2878,41622.29,8101.87,Car loan
27,110530,-760,15212.25,15239.84,Car loan
28,101894,-618,26038.16,15046.54,Car loan
29,105960,-693,16329.35,5792.88,Mortgage
30,112523,-2436,32728.42,12154.98,Car loan
31,103298,-2238,30994.12,12366.05,Mortgage
32,100894,-3010,46860.56,18845.81,Car loan
33,103410,-224,7540.48,16910.01,Car loan
34,104039,-2256,34884.44,10529.87,Car loan
35,103919,-1574,20753.2,10812.7,Mortgage
36,100075,-3725,46102.34,9832.42,Credit card
37,101781,-67,49163.64,593.84,Mortgage
38,106223,-3364,3296.9,8462.76,Credit card
39,106161,-3407,29657.05,2996.08,Car loan
40,108672,-1910,1343.84,10485.66,Mortgage
41,113232,-3257,47810.94,6277.94,Mortgage
42,113959,-2240,38985.14,10427.4,Credit card
43,112983,-37,12699.15,12234.62,Credit card
44,104095,-281,4375.49,574.4,Other
45,106460,-3258,7096.56,18334.99,Credit card
46,107477,-488,38834.92,5470.42,Other
47,105539,-1894,38172.68,3262.21,Credit card
48,106447,-595,7538.09,14588.03,Car loan
49,111299,-3738,26104.91,18467.48,Consumer credit
50,114028,-121,17361.51,19902.19,Other
51,103394,-1823,37497.36,4130.06,Credit card
52,107181,-2629,32729.96,7770.86,Other
53,112809,-3992,39569.29,13741.54,Consumer credit
54,103900,-2033,36439.5,746.41,Consumer credit
55,110771,-444,23634.84,7222.39,Consumer credit
56,102593,-1292,18582.49,17047.18,Mortgage
57,109864,-1537,24406.25,12145.79,Car loan
58,113019,-3948,36783.55,12121.43,Mortgage
59,102244,-3837,37280.52,1148.87,Credit card
60,105947,-1171,28275.42,12427.67,Mortgage
61,111717,-2842,15104.34,8593.61,Mortgage
62,109996,-2155,40904.08,6334.54,Credit card
63,100971,-3485,29319.12,17044.26,Other
64,111570,-3251,11897.7,3980.03,Mortgage
65,114888,-1026,6444.91,19943.65,Credit card
66,108918,-213,39653.89,13895.05,Credit card
67,110049,-1119,1080.88,12479.95,Car loan
68,109248,-3838,7076.99,2573.97,Car loan
69,102118,-3738,14351.31,16601.09,Car loan
70,103439,-3362,17678.85,19577.07,Mortgage
71,114143,-2103,47330.33,19302.74,Consumer credit
72,108071,-89,8308.45,3563.83,Credit card
73,109408,-3669,44692.17,7350.83,Consumer credit
74,113015,-3025,13633.86,11227.25,Consumer credit
75,108644,-2720,46274.24,1780.09,Car loan
76,110828,-887,49566.29,4444.92,Mortgage
77,105584,-978,5302.09,5905.34,Other
78,103816,-1999,26496.02,14493.49,Consumer credit
79,111106,-2914,48868.94,5873.2,Credit card
80,110744,-2236,25382.75,9303.63,Mortgage
81,105946,-741,47281.03,4260.31,Consumer credit
82,105757,-2979,4959.36,10791.15,Credit card
83,104236,-2041,32001.52,19896.34,Other
84,109218,-3788,8797.63,9216.86,Other
85,105322,-2220,10276.02,8797.44,Consumer credit
86,112673,-55,11723.09,17274.47,Credit card
87,104315,-2173,35191.58,13917.02,Other
88,104092,-3178,26210.88,2621.77,Credit card
89,111177,-1910,46638.83,4550.31,Car loan
90,105804,-419,26564.3,11768.9,Credit card
91,113623,-1761,33665.41,4400.64,Car loan
92,107866,-2029,39854.95,8694.98,Other
93,105363,-736,9176.62,13566.43,Car loan
94,110168,-1731,19334.33,9804.87,Consumer credit
95,101669,-3682,34616.86,3402.69,Mortgage
96,108972,-3896,13847.99,14198.96,Car loan
97,113757,-1723,15691.3,5448.0,Mortgage
98,106754,-1822,9592.07,17070.8,Mortgage
99,112987,-515,28720.95,18562.19,Other
100,110448,-2034,15851.31,18184.3,Mortgage
101,104208,-3364,4886.86,11315.33,Other
102,106405,-2338,37853.9,14218.83,Car loan
103,105351,-3511,16984.62,11152.61,Other
104,100806,-2388,23499.79,7050.44,Consumer credit
105,113846,-2475,22475.69,15699.31,Consumer credit
106,101656,-2841,11969.23,11049.89,Car loan
107,108776,-494,42350.81,5104.68,Car loan
108,106219,-3719,14048.11,17120.7,Other
109,114003,-730,14958.55,17143.7,Credit card
110,102805,-1691,18674.41,5362.26,Credit card
111,100710,-3570,48682.45,19531.28,Mortgage
112,112718,-3547,27512.35,3536.19,Car loan
113,103712,-517,38439.14,10950.23,Credit card
114,110119,-2649,876.34,12516.18,Credit card
115,114187,-2968,18336.79,13654.27,Credit card
116,111153,-2902,44429.04,13276.16,Mortgage
117,106574,-482,24154.87,16579.38,Credit card
118,106679,-1691,49780.4,12838.1,Mortgage
119,105365,-674,31517.75,19065.53,Mortgage
120,109889,-394,49733.5,10277.69,Car loan
121,102725,-3931,19690.13,9572.94,Car loan
122,112906,-3828,29866.91,15693.46,Credit card
123,111498,-1933,29357.35,17758.94,Consumer credit
124,102515,-3748,46251.89,17618.46,Car loan
125,101204,-1816,2856.93,17122.02,Mortgage
126,111056,-1084,35473.21,18427.54,Consumer credit
127,107509,-974,8827.58,13234.15,Car loan
128,101094,-1012,42852.21,14109.47,Credit card
129,107642,-1606,23977.85,7253.72,Mortgage
130,113725,-242,21395.7,15764.6,Mortgage
131,103520,-1467,45945.79,12622.66,Credit card
132,108723,-3030,19480.14,10359.33,Other
133,110115,-2377,33765.02,4433.8,Car loan
134,100657,-1060,26799.79,16256.6,Mortgage
135,113202,-505,28413.84,11187.36,Consumer credit
136,104617,-3728,22437.77,8745.03,Consumer credit
137,113680,-3151,31669.99,16943.79,Car loan
138,103621,-593,27118.94,18492.2,Car loan
139,112124,-3587,36927.44,57.58,Other
140,106979,-3986,40897.67,5315.55,Mortgage
141,114746,-2366,22866.63,17877.9,Other
142,112454,-455,45230.52,10373.15,Car loan
143,104071,-1829,12806.05,19391.96,Credit card
144,108493,-2814,19893.5,17694.91,Consumer credit
145,109376,-167,6833.89,181.8,Car loan
146,111168,-2473,15712.18,9464.89,Credit card
147,111947,-1361,19035.07,2334.6,Consumer credit
148,100461,-2416,15061.34,17259.9,Other
149,105205,-2289,25684.49,16531.19,Credit card
150,114653,-1704,7928.07,16317.87,Mortgage
151,103468,-1913,27377.25,15085.76,Car loan
152,114131,-3148,1709.23,10549.26,Car loan
153,103333,-2388,22668.32,14253.11,Mortgage
154,110978,-196,16407.85,16549.9,Credit card
155,100621,-1261,23144.46,7133.24,Other
156,114991,-3263,46427.54,717.89,Credit card
157,113088,-2407,14940.29,14870.85,Car loan
158,110035,-1589,34259.65,778.73,Car loan
159,102735,-2092,46828.22,10371.74,Mortgage
160,106324,-1857,4535.45,7043.24,Credit card
161,112772,-1956,48831.53,3289.8,Car loan
162,108279,-804,4205.38,8785.33,Mortgage
163,110032,-2967,32790.41,14040.41,Mortgage
164,106767,-378,14252.34,4962.03,Credit card
165,105594,-158,3861.25,4141.29,Car loan
166,104870,-2878,4868.03,10942.7,Car loan
167,105286,-3571,34663.67,17149.74,Car loan
168,109255,-2371,38830.45,648.96,Mortgage
169,114650,-755,23533.99,19267.53,Mortgage
170,110289,-1583,36386.15,13567.37,Consumer credit
171,110644,-2055,23985.09,16860.36,Credit card
172,106400,-2805,25335.49,6283.53,Car loan
173,114454,-1099,23076.78,12218.78,Credit card
174,110110,-1215,13874.37,19335.16,Car loan
175,114328,-1196,13573.3,3178.22,Mortgage
176,111101,-2946,6955.79,149.49,Credit card
177,100292,-764,4629.83,9314.26,Other
178,105333,-2923,28557.21,9940.44,Other
179,112611,-1221,9157.64,17452.23,Consumer credit
180,110789,-3104,22402.07,4136.99,Consumer credit
181,100387,-1207,30475.1,18339.75,Mortgage
182,114247,-3331,8920.84,13340.53,Car loan
183,105894,-2713,22123.16,12491.08,Other
184,113197,-489,6041.49,13922.72,Car loan
185,107463,-1919,38589.84,13863.92,Mortgage
186,108457,-339,11506.66,12957.33,Consumer credit
187,113111,-2675,9900.23,6448.48,Consumer credit
188,113454,-1831,36269.37,1174.77,Car loan
189,109808,-3449,13753.05,11824.14,Mortgage
190,105438,-3987,1495.7,9471.62,Mortgage
191,111718,-3014,23474.56,11046.69,Consumer credit
192,104687,-3013,30289.96,1669.19,Mortgage
193,101349,-3926,48730.65,4856.47,Other
194,114037,-1139,39897.28,16765.22,Car loan
195,114412,-2145,12173.8,16757.9,Other
196,100901,-3644,17717.84,14515.21,Car loan
197,103351,-1682,818.12,10258.35,Car loan
198,105539,-1220,3836.62,4743.81,Credit card
199,111274,-2186,9132.02,15150.2,Mortgage
200,105802,-934,36134.31,8365.18,Car loan
201,109567,-593,20587.83,6694.91,Other
202,108381,-927,21347.92,6685.77,Other
203,103057,-1226,28307.66,17369.26,Credit card
204,101790,-1733,24435.51,3233.15,Credit card
205,111945,-3341,8178.82,14247.82,Credit card
206,112314,-3943,16863.0,13371.14,Mortgage
207,105530,-3292,10714.03,13509.46,Car loan
208,107920,-2732,17027.03,17962.22,Credit card
209,101587,-263,47665.24,18081.1,Consumer credit
210,104340,-1870,580.0,13641.45,Consumer credit
211,106652,-2677,40357.57,18446.28,Mortgage
212,104549,-346,33284.81,18980.35,Other
213,100419,-1993,18813.63,3273.33,Mortgage
214,101104,-1017,38655.5,1021.2,Mortgage
215,111418,-2584,32526.18,882.84,Credit card
216,100067,-436,21561.1,3787.19,Other
217,105734,-1685,47209.03,6040.81,Consumer credit
