SK_ID_BUREAU,MONTHS_BALANCE,STATUS
3443,-23,Active
11092,-58,Unknown
11499,-38,Closed
4085,-39,Closed
13865,-12,Bad debt
14990,-33,Unknown
2586,-26,Closed
4211,-17,Active
13947,-10,Active
11403,-5,Bad debt
699,-31,Unknown
794,-16,Closed
2221,-28,Active
11458,-5,Active
8569,-33,Bad debt
1180,-20,Bad debt
8680,-4,Bad debt
1049,-43,Active
6327,-56,Active
4580,-20,Active
5171,-34,Active
2403,-20,Active
9039,-12,Unknown
791,-23,Closed
2269,-25,Bad debt
2303,-57,Bad debt
8681,-56,Unknown
9170,-5,Unknown
7032,-8,Unknown
13286,-1,Unknown
8814,-37,Closed
7225,-18,Closed
1785,-53,Unknown
12723,-31,Bad debt
3084,-55,Active
3104,-18,Unknown
1082,-29,Active
704,-7,Bad debt
11683,-52,Active
11101,-35,Active
6962,-10,Active
4465,-58,Active
1821,-53,Active
14109,-10,Unknown
4267,-21,Unknown
14225,-59,Bad debt
4661,-46,Unknown
1690,-29,Unknown
12789,-42,Bad debt
3996,-54,Unknown
11365,-18,Closed
1058,-5,Bad debt
5090,-9,Unknown
13824,-38,Unknown
9550,-55,Bad debt
9369,-4,Bad debt
3144,-26,Unknown
7780,-22,Bad debt
654,-7,Unknown
1572,-15,Unknown
12255,-57,Closed
12562,-22,Unknown
1179,-17,Bad debt
2143,-1,Unknown
12569,-43,Closed
1214,-59,Closed
9508,-30,Active
3827,-26,Unknown
9909,-27,Active
7216,-25,Unknown
6695,-30,Active
14738,-60,Unknown
10051,-12,Closed
10079,-36,Unknown
11811,-22,Active
11826,-30,Closed
14001,-36,Unknown
2763,-40,Unknown
10051,-58,Active
6209,-12,Closed
11343,-21,Closed
9728,-35,Unknown
13120,-31,Closed
1730,-50,Bad debt
14699,-27,Active
3042,-37,Closed
10423,-35,Bad debt
414,-3,Closed
14404,-47,Closed
6364,-10,Closed
14522,-13,Unknown
4792,-10,Active
3301,-16,Closed
14289,-18,Unknown
11245,-34,Active
8473,-52,Closed
1003,-23,Closed
3814,-34,Unknown
13046,-10,Unknown
13152,-19,Closed
4237,-54,Closed
14924,-55,Closed
14383,-59,Active
14237,-16,Unknown
14774,-8,Unknown
10683,-37,Bad debt
4181,-31,Unknown
10147,-28,Bad debt
8753,-39,Closed
7432,-2,Unknown
6567,-59,Unknown
9616,-3,Bad debt
5611,-41,Closed
8725,-57,Active
9492,-12,Bad debt
14687,-6,Closed
13897,-48,Unknown
2459,-8,Unknown
13633,-46,Active
7903,-36,Bad debt
8901,-25,Bad debt
8019,-21,Closed
6040,-32,Unknown
10448,-40,Active
7128,-20,Bad debt
12845,-28,Bad debt
3625,-2,Closed
5247,-10,Bad debt
2877,-10,Unknown
3135,-31,Unknown
7020,-2,Closed
12505,-45,Bad debt
524,-4,Unknown
13678,-44,Bad debt
9883,-52,Bad debt
11499,-5,Unknown
9629,-48,Closed
3799,-48,Bad debt
5050,-50,Active
5061,-1,Closed
14297,-12,Active
3236,-39,Bad debt
4139,-18,Bad debt
10471,-2,Active
1617,-22,Unknown
8684,-54,Unknown
6284,-28,Unknown
12660,-21,Unknown
7766,-24,Active
6154,-5,Closed
14512,-55,Active
4253,-55,Bad debt
7491,-44,Closed
7618,-54,Closed
4226,-27,Unknown
6325,-31,Unknown
11157,-30,Closed
8914,-25,Bad debt
2281,-16,Closed
7902,-34,Closed
1144,-16,Bad debt
12647,-28,Unknown
2904,-9,Active
3416,-6,Unknown
13668,-30,Bad debt
12880,-45,Unknown
13713,-46,Closed
6524,-21,Closed
14356,-58,Unknown
6549,-53,Closed
4108,-50,Closed
3531,-36,Bad debt
10830,-5,Closed
5926,-14,Unknown
2475,-9,Bad debt
5959,-33,Unknown
9035,-24,Active
8817,-57,Active
3879,-46,Bad debt
6708,-21,Bad debt
1728,-40,Unknown
10474,-31,Unknown
8707,-26,Unknown
1684,-7,Active
11923,-48,Bad debt
7835,-8,Bad debt
9028,-40,Unknown
11659,-51,Unknown
5928,-26,Bad debt
2853,-36,Closed
4897,-10,Active
3519,-30,Active
12932,-21,Active
11675,-26,Bad debt
7258,-37,Bad debt
3912,-49,Bad debt
6277,-16,Closed
3466,-7,Closed
8839,-23,Closed
14347,-50,Bad debt
1650,-24,Unknown
4128,-14,Closed
6626,-47,Bad debt
6531,-41,Bad debt
7221,-26,Bad debt
4209,-16,Bad debt
14134,-28,Closed
5585,-5,Active
5159,-52,Closed
2646,-3,Active
11665,-18,Bad debt
7310,-49,Bad debt
13303,-28,Bad debt
6547,-57,Unknown
10167,-44,Closed
7481,-45,Bad debt
6669,-55,Bad debt
14323,-5,Closed
14885,-29,Unknown
4847,-40,Unknown
509,-35,Closed
11818,-49,Unknown
7307,-31,Active
6819,-27,Unknown
856,-54,Unknown
12760,-49,Active
14919,-48,Unknown
14062,-18,Closed
1137,-23,Unknown
1781,-1,Bad debt
4078,-48,Closed
4685,-17,Unknown
7295,-21,Closed
909,-10,Bad debt
12119,-11,Active
10980,-58,Unknown
6732,-23,Active
1963,-28,Bad debt
7949,-25,Active
13958,-50,Unknown
3662,-59,Active
1642,-33,Active
8431,-23,Unknown
4057,-39,Active
7904,-28,Closed
6382,-24,Bad debt
14044,-43,Bad debt
8388,-37,Unknown
2307,-44,Active
3436,-17,Bad debt
709,-29,Closed
10600,-19,Active
11064,-10,Bad debt
11892,-14,Bad debt
14885,-51,Unknown
5519,-16,Closed
8828,-38,Unknown
12951,-37,Unknown
8863,-28,Bad debt
7002,-57,Unknown
1663,-43,Closed
10226,-21,Bad debt
4316,-24,Bad debt
5844,-12,Bad debt
12789,-37,Unknown
4857,-59,Unknown
