SK_ID_PREV,AMT_DRAWINGS_CURRENT,AMT_PAYMENT_CURRENT
6626,9737.65,657.65
11995,5883.27,4903.78
13862,8406.76,2482.69
6000,8699.18,2334.77
14081,1444.25,2137.72
5613,1095.87,146.32
13330,4341.26,1307.77
14564,3728.25,934.24
9782,7989.3,2180.87
423,4504.59,1898.22
12221,4625.6,1409.24
4754,7343.72,4159.01
10282,3524.79,1708.69
12061,7867.59,2092.84
10101,3866.71,976.3
3197,3926.87,1533.82
10758,7178.22,4486.34
2959,9713.23,233.7
3787,6911.58,4763.7
14889,2376.74,4099.29
2340,6016.93,4266.04
7295,5792.71,2651.43
7515,5444.91,4168.89
12387,1544.38,1865.48
3825,2811.69,948.33
8171,8794.04,1001.68
5431,7172.26,3133.41
9249,3858.47,3906.11
10013,4420.57,4661.82
8275,5793.98,3812.35
236,5512.52,2827.15
4073,4505.77,3297.28
13037,8378.18,2822.32
12618,4717.99,432.06
5483,3879.85,2940.14
10153,4350.9,888.76
12644,4166.96,3964.26
3106,2956.8,4045.28
10080,5747.51,1197.68
6451,3544.79,870.31
6076,6509.23,1677.82
8032,9244.56,4625.57
10990,3019.23,4550.53
4242,209.86,4257.43
3859,1270.65,1652.21
14266,1868.12,2788.42
607,9210.44,283.62
8412,6485.29,4611.83
14530,8764.91,477.12
6199,5829.96,810.33
11398,1339.43,652.89
4949,4861.52,4801.83
110,2741.83,1328.22
11833,6356.52,4161.0
10775,5023.12,2304.04
14773,9637.11,4973.06
7309,547.92,4504.22
9578,6170.67,1451.14
12577,4939.7,3699.66
7073,2412.01,2978.79
9683,8858.67,3856.89
5359,9320.44,1849.0
2091,867.91,2990.07
2530,7576.11,145.58
4246,4772.37,3592.02
10437,9813.36,1060.59
10636,5836.0,4928.35
5753,4782.71,946.79
13914,4711.69,407.91
10263,5004.1,2934.69
1855,1874.5,3026.22
8127,9248.57,1233.64
13730,3591.91,689.03
2019,1229.02,950.74
8210,6237.24,3126.39
2978,4895.51,4078.82
7170,7292.97,4599.86
6708,6264.74,4227.25
546,9617.7,924.11
4112,2958.81,2011.85
2945,7828.77,2188.93
11666,164.04,3103.75
849,4564.15,4730.88
2417,1873.74,3429.34
4356,9649.94,2471.24
12777,145.62,2937.86
12693,3978.36,678.34
3751,5532.01,713.42
6439,9367.41,330.56
1729,862.43,2506.54
3999,4560.31,1095.48
1360,6548.7,538.55
1059,8551.91,3986.55
1635,5819.05,3561.43
8627,6509.09,4503.16
1135,3963.62,188.02
3039,4309.45,4942.42
90,4995.72,313.16
7999,5149.49,3422.23
3833,6268.4,1021.21
3978,5379.83,2884.4
4429,3598.18,1772.55
7961,9448.96,832.38
8199,4209.24,4519.03
6340,3251.69,2521.55
8011,900.79,985.2
14302,599.44,2561.18
6936,756.54,1690.14
5829,1292.4,2805.27
6605,9895.19,4069.51
5970,2279.36,3368.3
8468,418.87,4070.67
14391,6337.24,4643.31
5355,6978.47,181.07
2006,3262.89,3397.75
2433,5567.67,3570.93
325,7992.53,3256.27
211,6178.88,4334.38
5404,2502.02,3602.04
11696,9268.94,4432.01
13141,5014.63,1439.7
415,6398.05,2381.9
6043,2555.15,3487.67
11906,1154.35,3962.03
12529,8627.74,3125.2
7491,1183.62,1794.39
5834,2449.61,2136.5
7498,5863.61,1514.34
14287,4045.59,1424.68
4753,3351.45,3994.6
13054,6204.72,4123.52
7326,8091.14,1121.58
10858,7799.22,4656.38
2615,4248.3,2497.23
10356,9254.7,996.35
728,7883.93,379.72
2828,2606.07,3429.16
11314,4371.59,3734.38
7794,6218.83,3577.27
13305,7396.68,1882.74
874,1696.84,3802.82
13967,7462.26,3601.03
10416,5369.06,4056.41
1277,414.98,1584.01
2761,5438.77,3153.62
3946,4761.89,714.31
13007,5120.28,3322.78
6121,8516.69,3525.0
3112,8315.19,1812.78
9416,2838.61,1056.63
4198,4681.16,2301.61
10410,8602.0,1304.67
9912,9725.29,2336.13
2882,5591.6,2172.2
11376,6685.79,3996.47
11587,7270.35,4827.47
6056,9309.52,4748.02
10270,2006.55,772.71
10111,2051.44,3261.1
1442,4703.34,3000.76
12701,3235.39,3117.43
9462,9905.28,207.88
14130,2498.1,1650.69
3490,9658.15,540.3
1496,9509.98,4492.8
9314,7589.29,3915.7
6361,5020.1,739.39
2071,623.98,3897.18
7924,9684.65,1046.1
