SK_ID_CURR,SK_ID_PREV,DAYS_INSTALLMENT,AMT_INSTALLMENT
107026,13185,230,3825.86
101748,7080,49,2839.03
106841,9856,-88,3690.96
110606,4722,-233,1544.05
112521,13219,235,4876.26
114789,2266,-173,1357.48
104440,4018,-208,3242.71
110053,2177,-116,2788.82
112066,13945,-329,4388.78
111238,4477,301,607.11
109733,7298,101,3698.22
109416,14851,110,2867.69
114947,11429,-22,641.47
113527,9350,-74,4786.22
105146,7814,-175,824.72
102743,12730,34,3078.67
110362,3224,10,4448.78
103041,14935,143,970.59
105059,795,-37,1139.68
110457,12445,2,1020.93
102708,8415,-361,2932.95
102492,10721,-231,4122.85
103666,8730,-194,682.12
109138,9409,-306,1345.97
113756,6225,211,4344.57
100640,4599,276,2799.63
109868,8500,-363,4988.05
108839,4653,-122,1343.37
106931,10846,176,1050.26
106470,10208,13,3922.63
114561,11093,-87,937.45
112071,7496,-151,2190.57
114991,9283,-81,4932.15
112003,10977,-142,3624.94
100877,13153,344,1339.18
111368,10062,110,4779.99
109414,6045,204,1725.19
101960,4471,216,718.92
103050,4896,-296,4281.7
112734,5899,-348,1806.52
114236,14902,-110,3651.27
102961,11231,-224,2448.77
112867,7122,-125,2705.59
104070,12950,-342,799.49
105895,12524,131,2561.81
102500,14973,-292,576.61
103600,13147,88,2730.52
103879,11264,330,3087.83
104068,5833,332,1909.72
103478,12482,131,4188.36
110503,5286,-308,1991.98
109929,6073,11,2258.51
102356,1322,282,2939.62
102742,2516,7,3634.43
103946,3654,-185,3719.13
107896,9852,194,2855.89
102511,6581,139,773.37
111703,13944,197,4545.78
112111,7464,-124,2376.26
105464,1217,343,923.35
102382,12832,322,617.32
108347,7429,292,794.8
108217,13643,-50,1490.06
108776,5476,-298,1871.79
108413,5907,45,574.83
111660,4908,-336,1107.24
100622,12136,-292,2509.99
103076,11488,174,830.29
107692,10059,-36,3463.26
108924,14870,271,3883.48
104312,5475,-176,1410.6
106586,4036,-197,3310.97
113054,2360,109,3698.04
110379,7299,-231,629.67
100374,5566,-149,4662.72
109063,1333,-354,696.61
107817,9273,-292,3908.86
113531,12869,-18,1715.58
112422,10647,337,501.6
108796,12613,356,2954.02
113773,11016,174,3577.36
111651,4971,-363,2222.93
101153,14830,278,1513.04
113475,4590,37,3358.79
114170,8542,-68,509.67
113229,13224,162,2607.52
112809,6410,-146,3080.33
110615,2047,-224,2401.27
109227,7363,-306,3046.03
107652,11289,31,1967.93
102786,4614,-31,3823.73
108156,14910,-126,1511.58
105039,1989,51,4376.79
107096,6937,340,2608.84
110704,5476,200,3887.13
109463,7942,-274,519.26
110523,3604,-235,4957.62
110654,6964,-195,713.56
114036,10411,-82,4356.68
101090,14709,134,3456.71
100556,5148,215,1519.83
108006,12527,-312,741.07
101705,7191,318,1192.24
107100,4471,-19,761.52
107114,10822,102,4165.63
113837,12812,203,2442.8
106066,8406,-130,3644.01
114183,406,-293,4920.08
111134,11297,318,2274.16
105020,13169,261,2808.21
103644,1000,-26,3197.97
112022,5232,-176,2601.27
107311,14918,355,756.05
104982,6016,359,2576.53
111243,10362,-340,2494.15
114557,5386,49,3880.78
112660,13616,56,2134.43
103428,1085,237,977.64
113909,11664,275,1043.4
