SK_ID_CURR,SK_ID_PREV,CNT_INSTALMENT,MONTHS_BALANCE
113643,14876,8,-53
104348,815,19,-19
102833,13328,19,-16
105309,4176,17,-32
108030,14982,12,-41
102372,11773,8,-26
110165,8992,6,-19
107079,4906,18,-78
109345,14332,16,-82
113595,8772,19,-86
109609,11980,15,-52
104938,4933,9,-43
114525,7975,2,-38
102923,8419,6,-27
100902,13948,14,-1
107523,7682,14,-87
113107,11088,11,-15
114141,7860,2,-50
106667,12474,10,-21
112210,506,4,-73
105776,5954,3,-96
110599,13990,3,-56
110338,9029,2,-26
108923,6549,7,-5
103361,4802,5,-31
108326,6151,9,-75
101818,5889,18,-18
101071,3338,14,-10
114650,9808,14,-29
108321,12317,15,-81
110635,957,14,-14
108642,8001,10,-71
108650,10934,4,-70
108838,10123,18,-99
113973,12652,19,-83
113503,10419,3,-96
105435,10785,15,-31
110605,14808,18,-42
105543,3632,3,-6
111487,8394,4,-86
112002,11063,4,-31
108562,1687,12,-99
107624,4196,6,-86
110443,7791,17,-51
102976,12326,12,-41
102890,2851,17,-34
114299,10272,10,-37
114074,188,9,-30
113905,8806,7,-45
111148,13803,12,-74
109947,3951,6,-32
111995,11611,15,-13
101112,8603,8,-81
110330,12774,10,-22
112379,6993,4,-5
108926,10703,5,-32
110083,6157,15,-31
109676,4824,5,-51
113036,6228,3,-84
107840,12859,13,-82
108581,14113,9,-18
112973,10775,19,-14
101201,9071,16,-50
101052,5515,6,-35
112969,12530,4,-91
101772,10509,15,-89
105848,7221,15,-43
101934,5476,10,-41
101814,422,6,-99
112754,12598,4,-33
109933,14625,6,-71
101026,398,12,-30
104653,10097,2,-59
103279,958,18,-97
110106,11850,15,-36
110398,43,5,-24
109550,5791,7,-19
110322,9156,19,-100
112261,13395,2,-8
112870,2275,4,-7
112862,2737,2,-74
103769,13070,1,-48
102425,212,3,-19
112372,6105,1,-23
105751,6416,15,-86
104787,11615,6,-65
100152,1004,14,-58
103170,13500,11,-76
108744,14181,5,-91
112944,10897,17,-86
107118,13004,15,-9
110161,12663,10,-45
108860,7293,10,-71
114135,8655,17,-50
105666,11685,6,-16
112910,6092,17,-29
106471,13597,3,-47
106302,8674,8,-6
110651,8350,10,-34
111157,14267,18,-33
111451,4794,3,-69
110206,12523,19,-11
107404,2387,1,-69
101350,9404,6,-61
109400,4246,11,-55
112477,2568,6,-84
104747,1685,5,-99
103879,13112,19,-31
113659,3709,18,-18
105418,1712,19,-71
111301,11060,19,-81
108067,7559,4,-70
103676,6729,10,-53
106894,9884,10,-30
108511,8327,15,-73
101213,3171,19,-64
109725,5556,13,-41
104554,3994,11,-22
102306,8716,5,-84
106065,6063,3,-35
100908,3096,5,-51
100931,3596,7,-94
108743,9559,16,-7
104827,9961,15,-70
104355,5399,2,-99
105888,14417,2,-72
105390,12846,18,-93
114354,4240,11,-16
104565,13387,5,-46
107633,10385,11,-11
106176,11714,18,-60
110441,13978,5,-83
113113,5815,7,-76
108140,4266,1,-71
108590,7109,15,-48
113087,5236,16,-43
100822,13040,3,-77
112301,10139,18,-37
107544,4240,2,-30
102839,3527,15,-9
108207,428,10,-78
102703,8657,17,-51
104162,6391,14,-78
110255,113,16,-38
107794,6401,14,-20
112511,13566,5,-72
105141,6078,17,-31
107479,428,16,-24
104265,9854,6,-82
106921,4573,10,-66
108389,2730,6,-48
106471,4812,14,-58
111575,11322,4,-89
111116,9558,9,-48
109146,12543,10,-17
102201,13873,17,-8
104340,268,17,-98
110439,9844,15,-22
111439,5114,7,-32
112572,2050,10,-28
113118,6025,16,-39
102283,1640,12,-15
109481,4394,8,-36
108784,6040,3,-4
102964,11863,14,-28
109922,1212,10,-31
102483,7394,11,-71
105542,5995,4,-100
111859,10528,15,-38
100779,8151,8,-25
113361,9836,17,-7
112636,13888,9,-34
104104,5268,15,-49
104740,8205,18,-72
106903,9207,3,-53
112324,14116,14,-5
105730,7625,15,-88
102989,8207,15,-34
110549,1102,15,-93
113431,4181,9,-32
102734,5286,10,-10
112433,9783,14,-10
107596,1125,6,-33
112362,14099,11,-71
109265,3903,7,-24
114167,12517,18,-1
113877,11397,19,-9
101280,5600,19,-41
114554,2063,10,-38
107183,12698,4,-75
104354,13444,9,-3
106233,5736,5,-44
107793,9467,17,-30
114580,5484,1,-8
107271,13143,6,-18
100048,1691,17,-82
110763,4976,9,-19
112817,7589,8,-14
111203,14961,5,-68
104989,10645,9,-47
110221,7679,12,-67
110874,879,9,-33
106567,11157,5,-7
114729,1623,6,-75
111467,1189,10,-76
111529,13802,11,-73
102058,12265,19,-19
110815,7839,11,-59
110279,1830,14,-61
105056,14671,7,-69
108926,6085,6,-13
106552,7275,5,-7
106627,3626,3,-71
106837,8739,10,-46
110724,13504,11,-57
108818,830,3,-29
100014,3901,13,-95
112064,6133,5,-100
110552,1936,4,-96
113404,4319,3,-80
112123,1082,18,-62
108352,6421,11,-64
107051,10372,10,-80
107078,12616,16,-4
101912,11176,8,-83
107247,12842,15,-58
114282,7890,7,-64
100223,10579,10,-3
106597,1421,7,-61
107550,9259,10,-43
100853,3312,15,-13
111277,3758,14,-65
112904,10404,6,-67
110214,4292,9,-9
111747,1275,15,-28
112992,151,3,-15
110591,391,16,-95
100604,9442,6,-100
110400,3806,12,-38
109361,6149,19,-60
103017,3411,6,-77
112736,11020,18,-41
107970,7191,6,-57
110940,14091,13,-17
104832,4810,14,-16
107812,6143,19,-98
110517,9596,12,-42
101037,166,6,-24
107430,4839,14,-91
102409,4828,8,-18
114990,10883,16,-31
104355,3136,3,-40
111830,14375,2,-7
106752,11636,16,-30
108311,4174,9,-58
103166,5944,6,-49
107470,13734,12,-73
108409,7220,1,-46
108805,13672,4,-38
106647,5481,8,-12
105246,6511,5,-76
101229,6542,19,-10
102858,12739,1,-47
110580,12974,19,-48
113370,9663,19,-92
101500,906,16,-28
110508,2799,14,-12
105373,14936,15,-74
113941,12144,6,-98
105361,12704,7,-47
104829,10789,4,-23
114081,4398,6,-40
102441,1296,18,-86
101104,13079,4,-12
110989,1186,17,-29
113653,13776,9,-22
102216,2880,17,-55
108504,12156,11,-8
102665,6486,7,-71
107782,4619,9,-77
111189,6563,18,-52
112438,326,5,-63
107983,894,1,-28
108121,5000,8,-46
109105,6248,3,-56
101831,1373,12,-86
111212,8590,16,-96
113667,6410,18,-72
104363,3233,16,-63
108747,1970,17,-31
102385,14574,19,-29
112355,7383,19,-23
112370,3691,19,-92
114704,3240,13,-84
107523,5102,4,-52
107296,12057,10,-93
110035,12094,19,-47
106123,3914,11,-49
108231,9648,4,-22
105817,13854,16,-90
106828,8268,14,-30
114505,7701,10,-55
101829,14138,9,-100
101494,7710,13,-2
105410,894,9,-58
114404,266,11,-58
104654,11076,2,-44
112437,13977,14,-14
109454,12836,2,-31
110192,5727,9,-35
105482,2358,9,-72
102462,3174,16,-38
102423,7030,17,-95
101339,13729,18,-50
100605,1230,6,-89
111718,941,13,-24
110035,1132,10,-53
108295,3540,5,-91
114022,12957,9,-26
101115,11843,18,-59
108269,7005,8,-1
107068,3259,3,-64
112245,7401,5,-94
112109,4568,17,-27
110246,4190,16,-32
104334,11746,5,-6
113939,1656,4,-95
105776,6395,19,-56
103163,8888,16,-93
110322,8654,10,-64
109406,1868,19,-45
114602,13321,16,-3
107546,9022,8,-15
105845,7769,14,-47
112055,4779,8,-15
105816,8321,14,-100
103809,2085,5,-65
106347,12929,3,-94
108160,14407,3,-41
113553,2890,7,-1
109822,8031,1,-33
112719,10324,5,-53
114374,1237,3,-39
103956,8431,17,-7
114226,4033,11,-78
106597,8678,2,-25
101071,14997,19,-1
105405,7192,14,-87
103915,12580,5,-2
104837,8480,2,-88
114996,4361,3,-2
110085,1997,11,-75
104471,1970,1,-83
100221,10614,9,-97
110235,7782,6,-30
111496,13560,11,-47
105517,1547,14,-94
104819,442,8,-88
106392,7318,1,-5
109427,3136,14,-83
103772,6631,19,-22
112570,14570,18,-75
110217,11828,9,-32
106612,7845,10,-38
104804,937,19,-83
107444,3058,12,-37
106041,12488,1,-9
102188,11398,10,-72
107334,3564,12,-58
105797,3464,18,-62
101366,7309,14,-13
103182,9429,9,-96
101880,2106,18,-26
109791,10282,10,-58
102965,8134,14,-87
112480,9412,9,-1
111421,11659,7,-65
113335,5661,19,-69
105418,12745,8,-5
100977,5869,11,-18
102618,5449,12,-17
111868,7081,6,-15
110420,94,18,-84
113799,13865,7,-17
109837,5027,1,-89
104863,12821,2,-79
108373,7966,4,-66
102589,2358,2,-73
110528,9581,4,-82
109479,5973,15,-38
112021,12574,13,-37
109447,14159,14,-44
103188,10879,5,-41
109295,6774,6,-4
100128,6097,17,-58
104217,10082,7,-3
100298,10093,11,-97
102269,9262,9,-96
103250,8260,10,-24
110053,7985,14,-45
100083,13720,13,-36
103812,6360,14,-60
107206,9637,1,-67
112347,14600,13,-86
109638,4150,14,-93
111771,4567,11,-58
110410,13177,2,-29
111996,11980,3,-28
100850,12136,7,-96
109687,13159,16,-98
102276,2037,3,-98
112488,224,15,-18
105308,10031,2,-27
106553,8080,17,-43
107675,10520,12,-60
111663,11125,19,-52
107816,11729,9,-76
104172,10449,12,-27
112231,14355,16,-45
101379,3981,3,-28
100689,7730,10,-26
113192,9409,19,-19
103384,1233,3,-72
111338,12681,16,-31
102458,8475,5,-82
106481,8705,11,-82
100251,13841,13,-76
107259,2886,17,-26
112038,11809,19,-34
111457,11025,4,-68
110971,1568,7,-84
103490,13576,3,-45
106779,11279,15,-24
110374,9685,10,-63
100636,127,2,-58
104632,6484,8,-43
107083,5673,11,-6
110217,613,2,-3
