SK_ID_PREV,NAME_PAYMENT_TYPE,CNT_PAYMENT,DAYS_LAST_DUE,DAYS_TERMINATION,SELLERPLACE_AREA,NAME_PORTFOLIO
4579,Cheque,19,332,-267,27,Cards
275,Card,23,295,-237,-77,Cash loans
14542,Cheque,2,-138,-154,-63,Cash loans
860,Card,27,486,222,98,Cash loans
5333,Card,6,-381,260,-46,POS
8117,Cheque,28,-333,201,-73,POS
13707,Card,5,-176,260,-32,Cards
12548,Cash,22,395,181,70,POS
2648,Card,17,-405,-146,-88,Cash loans
14660,Cheque,23,238,261,14,POS
13342,Cheque,18,492,241,-70,Cash loans
5005,Cash,22,-346,83,85,Cards
4487,Card,13,52,198,-66,POS
4739,Cheque,33,258,-164,85,POS
2654,Card,24,-111,-237,14,Cash loans
2645,Cash,30,-4,-135,91,POS
8426,Cash,20,468,42,93,POS
8370,Card,11,48,125,19,POS
14616,Cash,15,-43,234,-74,Cash loans
9098,Cash,35,-66,233,-32,Cash loans
10604,Cheque,12,72,228,-62,POS
3347,Card,35,339,-135,-17,Cash loans
11037,Card,5,-10,112,-17,POS
13779,Card,35,-477,-268,85,POS
4946,Cash,35,345,-187,33,POS
14898,Cheque,26,-415,-239,-55,POS
1863,Cash,35,61,78,26,Cards
5511,Cash,13,-113,187,92,POS
10414,Cash,20,-194,219,88,Cash loans
3733,Card,35,4,41,21,Cards
1928,Cash,23,363,56,24,POS
2011,Cheque,35,-252,219,-100,Cash loans
6093,Cheque,17,-317,184,-46,POS
14712,Card,2,-176,-266,-51,POS
11224,Cheque,28,-35,-150,-61,Cards
12503,Cheque,18,225,-161,-76,Cards
1628,Cheque,18,168,189,0,POS
602,Card,30,-224,-17,-86,Cash loans
3253,Card,12,-149,142,-30,POS
2962,Card,20,293,167,-42,Cards
14005,Cheque,8,-66,-47,84,Cards
3061,Cash,5,423,220,-39,POS
10086,Cheque,13,68,90,87,Cards
4598,Cash,20,7,214,57,Cash loans
1145,Cheque,7,-263,-129,-54,Cash loans
8768,Cash,26,359,-282,58,Cash loans
11067,Cheque,4,-287,-277,-33,POS
9296,Cheque,33,-60,147,31,POS
14510,Cheque,35,92,-63,20,POS
14151,Cheque,17,-288,238,83,POS
5342,Cheque,33,398,-58,37,Cards
12671,Cash,35,-472,-56,20,Cash loans
7027,Cheque,14,-159,127,-31,Cards
3675,Cash,2,-412,-265,82,Cash loans
7275,Cheque,9,-257,-226,-44,POS
2957,Card,1,76,-248,-8,Cash loans
14459,Card,22,337,-127,-50,POS
3922,Cash,26,-86,-190,-83,Cash loans
8701,Cash,27,-78,248,-79,Cash loans
9798,Card,33,226,-10,29,Cards
2063,Card,9,-421,62,97,Cards
8828,Cheque,1,-176,-93,-33,POS
616,Cheque,2,-426,114,-17,Cards
8717,Card,31,-147,296,-3,Cards
10686,Cheque,25,110,-47,-41,Cards
10862,Cash,30,12,197,-72,POS
8933,Cheque,30,48,-262,-58,Cards
594,Cheque,35,74,294,-29,Cash loans
1244,Card,30,135,281,2,Cash loans
2032,Cheque,1,-290,-128,62,POS
11953,Card,23,-127,-83,60,Cards
646,Card,25,-187,98,-64,POS
3623,Cheque,28,452,-2,37,Cards
3132,Card,9,-410,-191,-94,Cash loans
11544,Cash,12,289,-162,74,Cards
1399,Cash,33,20,175,-6,POS
5081,Card,4,418,53,33,POS
6143,Cash,6,365,-164,95,Cards
9317,Cheque,28,-110,-285,77,POS
2903,Card,11,27,114,-14,Cash loans
13312,Card,2,275,104,-86,Cash loans
5623,Card,21,327,-186,26,POS
11540,Card,28,-420,173,65,Cards
11687,Cash,18,-185,42,-46,POS
13703,Cheque,29,-114,-260,-98,Cash loans
5122,Cash,25,-41,-60,-58,Cards
7644,Cheque,29,-91,-149,71,Cash loans
12888,Cash,3,241,69,-60,POS
1361,Cheque,8,384,171,4,Cards
7461,Card,29,-99,252,-100,Cards
11961,Card,3,-469,-31,11,Cash loans
420,Cash,22,-319,-20,47,Cash loans
4145,Cash,15,-422,-46,-39,POS
7065,Cheque,14,317,-26,-9,POS
12480,Card,30,10,40,-48,POS
10377,Cash,3,-339,267,-87,POS
2062,Cash,19,-426,39,73,Cash loans
9274,Card,19,-443,-34,-6,Cash loans
